date,Tem,电压(V),电流(A),放电容量(Ah)
0,29.1,3.9001,13.0032,13.1575
30,28.7,3.9001,13.0038,13.1563
60,28.6,3.9001,13.0035,13.1521
90,28.6,3.9001,13.007,13.1475
120,28.9,3.9001,13.0075,13.1196
150,29.3,3.9,13.007,12.9836
180,26.4,3.9,13.007,13.0717
210,26.1,3.9002,13.0078,12.8726
240,25.6,3.9001,13.0076,12.853
270,28.1,3.9001,13.0076,12.8343
300,28.4,3.9001,13.0138,12.8394
330,28.5,3.9001,13.0074,12.8325
360,28.7,3.9,13.0076,13.034
390,27.3,3.9001,13.0037,12.8711
420,27.3,3.9,13.0142,12.8193
450,27.5,3.9001,13.0073,12.806
480,27.8,3.9002,13.0084,12.7947
510,28.2,3.9001,13.0075,12.8013
540,28.2,3.9001,13.0073,12.9666
570,28.2,3.9001,13.0072,13.0013
600,28.3,3.9001,13.0077,12.9846
630,28.9,3.9002,13.0126,12.7832
660,29.2,3.9002,13.0071,12.7609
690,29.9,3.9002,13.0075,12.7181
720,29.2,3.9001,13.0118,12.7094
750,29.0,3.9001,13.0102,12.6945
780,29.0,3.9001,13.0076,12.6742
810,28.9,3.9001,13.0074,12.6702
840,29.0,3.9001,13.0073,12.6648
870,29.4,3.9002,13.007,12.6562
900,29.9,3.9002,13.0095,12.6538
930,29.9,3.9001,13.0065,12.6461
960,29.5,3.9001,13.0067,12.6377
990,29.2,3.9001,13.0101,12.633
1020,29.2,3.9001,13.0073,12.6264
1050,29.2,3.9001,13.0038,12.6211
1080,29.2,3.9,13.0074,12.6169
1110,29.5,3.9001,13.0145,12.612
1140,29.9,3.9001,13.0073,12.5983
1170,29.4,3.9001,13.007,12.6049
1200,29.7,3.9002,13.0072,12.5959
1230,29.6,3.9001,13.0068,12.5907
1260,29.5,3.9002,13.0069,12.5852
1290,29.6,3.9002,13.0124,12.5813
1320,29.6,3.9002,13.0069,12.5777
1350,29.8,3.9002,13.0107,12.5745
1380,30.2,3.9,13.0041,12.571
1410,30.6,3.9001,13.0068,12.5668
1440,30.4,3.9,13.0069,12.5613
1470,30.2,3.9,13.0089,12.5567
1500,30.2,3.9001,13.0064,12.5523
1530,30.2,3.9001,13.0065,12.5484
1560,29.8,3.9002,13.0101,12.5384
1590,29.8,3.9002,13.0072,12.537
1620,29.9,3.9002,13.007,12.5349
1650,30.3,3.9,13.0072,12.5324
1680,30.1,3.9,13.0067,12.5272
1710,29.9,3.9001,13.0039,12.5205
1740,29.6,3.9001,13.0064,12.5149
1770,29.6,3.9001,13.0066,12.5207
1800,29.6,3.9001,13.0067,12.5178
1830,29.7,3.9001,13.0064,12.5192
1860,30.2,3.9001,13.0069,12.5063
1890,30.4,3.9,13.0082,12.7503
1920,31.0,3.9001,13.0063,12.5222
1950,30.5,3.9002,13.0063,12.5098
1980,30.3,3.9,13.0092,12.5068
2010,30.3,3.9001,13.0064,12.7047
2040,30.3,3.9,13.0039,12.5165
2070,30.4,3.9,13.0063,12.4953
2100,30.6,3.9002,13.0089,12.4904
2130,30.8,3.9001,13.0064,12.4868
2160,30.9,3.9002,13.0062,12.4822
2190,30.7,3.9002,13.0064,12.4778
2220,30.4,3.9002,13.0132,12.4737
2250,30.4,3.9002,13.0067,12.4701
2280,30.3,3.9,13.0064,12.4656
2310,30.2,3.9,13.0091,12.4612
2340,30.3,3.9002,13.0147,12.4598
2370,30.4,3.9001,13.0065,12.4577
2400,30.4,3.9001,13.0063,12.4537
2430,30.3,3.9002,13.0062,12.4486
2460,30.2,3.9,13.0098,12.4456
2490,30.1,3.9,13.0102,12.4421
2520,30.0,3.9001,13.0064,12.4388
2550,30.0,3.9,13.0079,12.4353
2580,30.3,3.9002,13.0068,12.4324
2610,30.6,3.9,13.0112,12.4308
2640,30.6,3.9001,13.0068,12.4272
2670,30.5,3.9,13.0083,12.4235
2700,30.3,3.9,13.0137,12.4198
2730,30.2,3.9001,13.007,12.416
2760,30.0,3.9002,13.0069,12.4136
2790,29.9,3.9001,13.0076,12.4107
2820,30.1,3.9,13.0071,12.4086
2850,30.2,3.9001,13.009,12.4033
2880,29.2,3.9002,13.0072,12.3996
2910,29.7,3.9001,13.0084,12.3985
2940,29.5,3.9002,13.0069,12.3926
2970,29.3,3.9001,13.0077,12.3914
3000,29.1,3.9,13.007,12.3886
3030,29.1,3.9001,13.0035,12.3862
3060,29.5,3.9001,13.008,12.3852
3090,29.8,3.9001,13.0079,12.3828
3120,30.1,3.9002,13.0116,12.3805
3150,30.7,3.9,13.0074,12.3789
3180,30.2,3.9001,13.0091,12.3754
3210,29.9,3.9,13.0071,12.3724
3240,29.9,3.9001,13.0109,12.3692
3270,29.7,3.9001,13.0073,12.3655
3300,29.8,3.9002,13.0126,12.3645
3330,30.2,3.9002,13.0069,12.3627
3360,30.4,3.9001,13.0109,12.3609
3390,31.1,3.9001,13.0102,12.3589
3420,30.8,3.9002,13.007,12.3556
3450,30.4,3.9,13.0079,12.3533
3480,30.3,3.9,13.0115,12.35
3510,30.3,3.9001,13.0068,12.3472
3540,30.2,3.9,13.0096,12.3447
3570,30.5,3.9002,13.007,12.3438
3600,30.9,3.9001,13.0097,12.3417
3630,31.1,3.9002,13.0069,12.3385
3660,30.9,3.9001,13.0079,12.336
3690,30.6,3.9001,13.0074,12.3334
3720,30.5,3.9001,13.0036,12.3297
3750,30.4,3.9002,13.0121,12.3279
3780,30.4,3.9,13.0075,12.3262
3810,30.6,3.9001,13.0094,12.3251
3840,30.9,3.9001,13.0069,12.3237
3870,31.3,3.9,13.0076,12.322
3900,31.4,3.9001,13.0078,12.3191
3930,30.9,3.9001,13.0141,12.3154
3960,30.8,3.9001,13.007,12.3131
3990,30.6,3.9002,13.0072,12.3102
4020,30.6,3.9,13.007,12.3077
4050,30.7,3.9001,13.0038,12.3063
4080,30.9,3.9002,13.0072,12.3055
4110,31.3,3.9001,13.0115,12.3033
4140,31.6,3.9001,13.0076,12.3016
4170,31.2,3.9001,13.0076,12.2982
4200,31.0,3.9,13.011,12.296
4230,31.0,3.9002,13.0075,12.293
4260,30.9,3.9001,13.012,12.2907
4290,31.0,3.9001,13.008,12.2882
4320,31.2,3.9001,13.0081,12.2876
4350,31.5,3.9002,13.0125,12.2859
4380,31.6,3.9001,13.0062,12.2839
4410,31.3,3.9001,13.0081,12.2798
4440,31.2,3.9002,13.0128,12.2761
4470,31.1,3.9002,13.0073,12.2743
4500,30.9,3.9001,13.0076,12.2721
4530,30.9,3.9001,13.008,12.2703
4560,31.0,3.9002,13.0078,12.2692
4590,31.2,3.9001,13.0078,12.2671
4620,31.3,3.9,13.0147,12.2661
4650,31.6,3.9001,13.0081,12.2635
4680,31.1,3.9001,13.0085,12.259
4710,31.0,3.9001,13.0108,12.2565
4740,30.8,3.9002,13.013,12.2535
4770,30.7,3.9,13.0098,12.2513
4800,30.7,3.9001,13.0077,12.2523
4830,30.9,3.9,13.0076,12.2506
4860,31.3,3.9002,13.0078,12.2494
4890,31.6,3.9002,13.0077,12.2465
4920,31.0,3.9002,13.0075,12.2417
4950,30.8,3.9002,13.0082,12.2386
4980,30.7,3.9,13.0073,12.2375
5010,30.6,3.9,13.0076,12.2345
5040,30.7,3.9,13.0142,12.2338
5070,31.0,3.9001,13.0077,12.2332
5100,31.0,3.9002,13.0074,12.2324
5130,31.1,3.9,13.0081,12.2299
5160,30.8,3.9001,13.0094,12.2262
5190,30.7,3.9,13.0109,12.2225
5220,30.5,3.9001,13.0098,12.2199
5250,30.5,3.9002,13.0077,12.218
