Cycle,Tem,电压(V),电流(A),放电容量(Ah)
0,29.6,3.6502,13.0008,13.4968
30,25.9,3.6501,13.0013,13.4746
60,26.0,3.6501,13.0059,13.4666
90,27.9,3.6501,13.012,13.4698
120,28.4,3.6501,13.0072,13.4646
150,28.6,3.6501,13.0055,13.4563
180,28.6,3.65,13.0055,13.4501
210,28.1,3.65,13.0068,13.4373
240,27.9,3.6501,13.0055,13.4282
270,27.2,3.65,13.0067,13.4218
300,27.7,3.65,13.009,13.4124
330,28.1,3.6501,13.0072,13.4084
360,28.1,3.6501,13.0103,13.3999
390,28.1,3.6501,13.0021,13.3942
420,28.5,3.6501,13.0068,13.3914
450,29.0,3.6501,13.0052,13.3861
480,29.4,3.6501,13.0101,13.3819
510,29.5,3.65,13.0118,13.3703
540,29.0,3.6501,13.0054,13.3615
570,29.0,3.65,13.0054,13.3519
600,28.9,3.65,13.0052,13.3503
630,28.9,3.65,13.0051,13.3442
660,29.3,3.65,13.0098,13.3399
690,29.9,3.65,13.0053,13.3389
720,29.9,3.6501,13.0009,13.3309
750,29.4,3.6501,13.0054,13.3233
780,29.2,3.65,13.0097,13.3154
810,29.1,3.65,13.0084,13.3087
840,29.1,3.6501,13.0064,13.3077
870,29.2,3.6501,13.0072,13.3035
900,29.5,3.6501,13.0087,13.2985
930,27.3,3.6501,13.0083,13.2913
960,29.7,3.65,13.0104,13.2881
990,29.6,3.6501,13.0085,13.2821
1020,29.4,3.6501,13.0056,13.2763
1050,29.5,3.6501,13.0054,13.2708
1080,29.5,3.6501,13.0055,13.2664
1110,29.8,3.6501,13.0062,13.2642
1140,30.2,3.65,13.0069,13.2567
1170,30.3,3.65,13.0139,13.2571
1200,30.4,3.6501,13.0065,13.2496
1230,30.2,3.65,13.0085,13.241
1260,30.1,3.65,13.0091,13.24
1290,30.2,3.6501,13.0077,13.232
1320,29.7,3.6501,13.007,13.2248
1350,29.8,3.6501,13.0061,13.2227
1380,30.1,3.6501,13.0038,13.2192
1410,30.1,3.65,13.0061,13.2152
1440,30.0,3.6501,13.0078,13.2108
1470,29.7,3.6501,13.006,13.2035
1500,29.6,3.65,13.0061,13.2073
1530,29.6,3.65,13.0064,13.1992
1560,29.8,3.6501,13.0122,13.1947
1590,30.2,3.65,13.0102,13.19
1620,30.5,3.6501,13.0125,13.1887
1650,30.9,3.65,13.0067,13.188
1680,30.5,3.65,13.0085,13.1818
1710,30.3,3.6501,13.002,13.1753
1740,30.3,3.65,13.0069,13.1728
1770,30.3,3.65,13.0112,13.1689
1800,30.5,3.6501,13.0068,13.1667
1830,30.8,3.6501,13.0073,13.1636
1860,31.0,3.65,13.0076,13.16
1890,30.7,3.6501,13.0109,13.1548
1920,30.4,3.6501,13.0066,13.1505
1950,30.4,3.6501,13.0128,13.144
1980,30.3,3.6501,13.0072,13.1399
2010,30.2,3.6501,13.0096,13.1366
2040,30.3,3.6501,13.0027,13.1337
2070,30.4,3.6501,13.0062,13.1301
2100,30.5,3.6501,13.0102,13.1272
2130,30.3,3.65,13.0082,13.1226
2160,30.1,3.65,13.0127,13.1186
2190,30.1,3.65,13.0106,13.1165
2220,30.0,3.65,13.0122,13.1129
2250,30.3,3.6501,13.0067,13.1103
2280,30.5,3.6501,13.014,13.1075
2310,30.6,3.6501,13.0127,13.1046
2340,30.5,3.6501,13.0091,13.1017
2370,30.3,3.6502,13.0106,13.098
2400,30.1,3.6501,13.0081,13.0947
2430,30.0,3.65,13.0065,13.0915
2460,29.9,3.65,13.0103,13.0886
2490,30.3,3.6501,13.0068,13.0865
2520,29.4,3.65,13.0064,13.0787
2550,29.6,3.65,13.0068,13.0791
2580,29.6,3.6501,13.0066,13.0748
2610,29.3,3.65,13.0071,13.0708
2640,29.2,3.65,13.0102,13.0675
2670,29.1,3.6501,13.007,13.0685
2700,29.4,3.6501,13.0061,13.063
2730,29.8,3.6501,13.0107,13.062
2760,30.1,3.65,13.0093,13.0602
2790,30.8,3.6501,13.0103,13.0596
2820,30.1,3.65,13.0128,13.0552
2850,29.9,3.65,13.009,13.0505
2880,29.8,3.6501,13.0147,13.0469
2910,29.8,3.6501,13.012,13.0447
2940,30.1,3.65,13.0109,13.0429
2970,30.4,3.6501,13.0135,13.0412
3000,30.9,3.6501,13.0074,13.0456
3030,31.2,3.6501,13.0016,13.0409
3060,30.5,3.65,13.0132,13.0365
3090,30.4,3.65,13.0069,13.0339
3120,30.3,3.65,13.009,13.0313
3150,30.2,3.65,13.0092,13.0292
3180,30.6,3.65,13.0069,13.0274
3210,31.0,3.65,13.007,13.0257
3240,31.1,3.6501,13.0133,13.0225
3270,30.8,3.65,13.01,13.0185
3300,30.6,3.65,13.0089,13.0146
3330,30.5,3.65,13.0069,13.0116
3360,30.4,3.65,13.0016,13.0084
3390,30.5,3.6502,13.0026,13.0062
3420,30.8,3.65,13.007,13.0045
3450,31.2,3.6501,13.0142,13.0034
3480,31.6,3.65,13.0069,13.006
3510,31.1,3.65,13.0091,12.9958
3540,30.8,3.65,13.0097,12.995
3570,30.7,3.6501,13.0123,12.9917
3600,30.6,3.65,13.0074,12.9884
3630,30.8,3.65,13.0068,12.9871
3660,31.1,3.65,13.0067,12.9862
3690,31.4,3.65,13.0116,12.9844
3720,31.4,3.6501,13.0014,12.9812
3750,31.1,3.65,13.0066,12.9779
3780,31.0,3.6501,13.0069,12.9749
3810,30.9,3.65,13.0082,12.9724
3840,31.0,3.6501,13.0069,12.9702
3870,31.2,3.65,13.0105,12.9694
3900,31.6,3.65,13.0091,12.9734
3930,31.6,3.65,13.0083,12.9691
3960,31.3,3.65,13.0111,12.9635
3990,31.2,3.65,13.0091,12.9591
4020,31.0,3.65,13.0065,12.9563
4050,30.9,3.6501,13.004,12.9534
4080,31.0,3.65,13.0064,12.9524
4110,31.1,3.65,13.0064,12.951
4140,31.3,3.65,13.0063,12.9493
4170,31.5,3.65,13.0087,12.9471
4200,31.2,3.65,13.0098,12.9437
4230,31.0,3.6501,13.0061,12.9408
4260,30.8,3.6501,13.0087,12.9378
4290,30.7,3.65,13.0083,12.9359
4320,30.7,3.6501,13.013,12.9344
4350,30.9,3.65,13.0061,12.9338
4380,31.3,3.6502,13.0018,12.9357
4410,31.4,3.65,13.0138,12.929
4440,31.0,3.65,13.0071,12.9281
4470,30.8,3.6501,13.0064,12.9245
4500,30.7,3.6501,13.0063,12.9201
4530,30.6,3.65,13.0086,12.9191
4560,30.8,3.65,13.0104,12.9181
4590,31.0,3.65,13.0065,12.9164
4620,31.1,3.6501,13.0109,12.9142
4650,30.8,3.65,13.0067,12.9116
4680,30.7,3.65,13.0064,12.9083
4710,30.5,3.6502,13.0058,12.9064
4740,30.5,3.65,13.0084,12.9043
4770,30.4,3.65,13.0091,12.9021
4800,30.4,3.65,13.0118,12.9021
4830,30.5,3.6501,13.008,12.8979
4860,30.4,3.65,13.0066,12.8968
4890,30.3,3.65,13.0114,12.8946
4920,30.1,3.65,13.0062,12.9
4950,29.9,3.6501,13.0066,12.8896
4980,29.9,3.65,13.0075,12.8874
5010,30.0,3.6501,13.0072,12.8928
