Cycle,Tem,电压(V),电流(A),放电容量(Ah)
0,31.1,3.9,13.0,13.1796
30,31.4,3.9001,12.9965,13.1118
60,31.1,3.9001,12.9971,13.0486
90,30.9,3.9002,12.9954,13.0252
120,30.7,3.9001,12.9982,13.0148
150,30.7,3.9,12.9949,13.0002
180,30.7,3.9,13.0093,12.9546
210,31.0,3.9,12.9974,12.9503
240,31.4,3.9001,12.995,12.9461
270,31.5,3.9001,12.9968,12.9499
300,31.3,3.9001,12.9953,12.9541
330,31.0,3.9001,12.9958,12.9309
360,30.9,3.9,12.9951,12.9243
390,30.8,3.9,13.0135,12.9071
420,30.8,3.9001,13.0019,12.9013
450,30.8,3.9002,12.9952,12.8879
480,31.0,3.9002,12.9946,12.8861
510,31.1,3.9001,12.9947,12.8839
540,31.1,3.9002,13.0009,12.8853
570,30.8,3.9002,12.995,12.8814
600,30.6,3.9002,12.9997,12.8745
630,30.4,3.9001,12.9949,12.8882
660,30.4,3.9,13.0007,12.8751
690,30.4,3.9001,12.995,12.8669
720,30.7,3.9001,12.9967,12.8591
750,31.0,3.9002,12.998,12.8547
780,30.5,3.9002,12.9947,12.8579
810,30.6,3.9,12.9958,12.8417
840,30.3,3.9,12.9948,12.8347
870,30.1,3.9002,12.9958,12.835
900,30.1,3.9,12.9952,12.827
930,30.1,3.9002,13.0013,12.8277
960,30.4,3.9,12.995,12.8104
990,30.7,3.9,12.9948,12.8
1020,30.1,3.9001,12.9948,12.8181
1050,30.2,3.9,12.997,12.7816
1080,29.7,3.9002,12.9949,12.7957
1110,29.6,3.9002,13.0071,12.7773
1140,29.5,3.9002,12.9947,12.7662
1170,29.4,3.9001,12.9951,12.7797
1200,29.7,3.9,12.9949,12.7649
1230,30.0,3.9,13.0017,12.7707
1260,30.1,3.9,12.9951,12.7533
1290,30.3,3.9,13.0079,12.7435
1320,29.9,3.9002,12.9949,12.7376
1350,29.6,3.9001,13.0076,12.7365
1380,29.6,3.9001,13.0082,12.7373
1410,29.4,3.9001,12.9951,12.7499
1440,29.7,3.9001,12.9952,12.7672
1470,30.0,3.9002,13.0087,12.8481
1500,30.2,3.9,12.9952,12.7387
1530,30.5,3.9001,13.0116,12.7311
1560,30.4,3.9002,12.9951,12.7338
1590,30.0,3.9001,12.9949,12.7291
1620,29.9,3.9,12.9946,12.7252
1650,29.8,3.9001,12.9946,12.732
1680,29.8,3.9002,13.0132,12.7248
1710,30.2,3.9,13.0047,12.7122
1740,30.3,3.9001,12.9949,12.7035
1770,30.7,3.9001,13.004,12.6988
1800,30.9,3.9002,12.9951,12.696
1830,30.4,3.9001,13.0144,12.7006
1860,30.2,3.9,13.0041,12.7313
1890,30.2,3.9001,12.9951,12.6951
1920,30.1,3.9,13.0005,12.6907
1950,30.3,3.9,12.9948,12.6813
1980,30.5,3.9002,12.9986,12.6779
2010,30.8,3.9001,13.0031,12.675
2040,31.1,3.9,12.9977,12.6736
2070,30.7,3.9001,12.9951,12.6694
2100,30.6,3.9,12.9953,12.6651
2130,30.5,3.9001,13.005,12.6615
2160,30.4,3.9002,12.9943,12.6568
2190,30.4,3.9001,13.0089,12.6507
2220,30.5,3.9001,12.9951,12.6534
2250,30.8,3.9002,12.9941,12.6381
2280,30.4,3.9002,12.9941,12.6306
2310,30.1,3.9001,12.9948,12.6251
2340,30.0,3.9001,12.9943,12.6212
2370,29.8,3.9001,12.9981,12.6146
2400,29.7,3.9001,12.9943,12.6103
2430,29.7,3.9,13.0013,12.618
2460,30.1,3.9002,12.9943,12.6624
2490,30.4,3.9002,12.9944,12.6093
2520,30.4,3.9001,12.9993,12.5959
2550,30.1,3.9,12.9947,12.5991
2580,29.9,3.9002,12.9945,12.593
2610,29.8,3.9002,13.0005,12.5854
2640,29.6,3.9003,12.9945,12.5826
2670,29.5,3.9002,13.0128,12.5786
2700,29.8,3.9,12.9972,12.5796
2730,30.0,3.9003,12.9948,12.5685
2760,30.4,3.9001,12.9946,12.5649
2790,30.6,3.9001,13.0014,12.5623
