Cycle,Tem,电压(V),电流(A),放电容量(Ah)
0,29.6,3.6501,12.9992,13.5822
30,25.9,3.6501,12.9989,13.5614
60,26.0,3.6501,13.0029,13.5508
90,27.9,3.65,12.9969,13.5569
120,28.4,3.6501,12.9967,13.5524
150,28.6,3.6501,12.998,13.5454
180,28.6,3.65,12.9988,13.5391
210,28.1,3.65,12.9989,13.5285
240,27.9,3.65,12.997,13.5207
270,27.2,3.65,12.9989,13.5127
300,27.8,3.6501,13.0032,13.5043
330,28.1,3.6501,12.998,13.4988
360,28.1,3.6501,12.9961,13.4927
390,28.1,3.6501,13.0042,13.4873
420,28.5,3.6501,12.9984,13.4843
450,29.0,3.6501,12.9976,13.4805
480,29.3,3.6501,12.9961,13.4769
510,29.6,3.65,12.9964,13.4695
540,29.1,3.6501,12.9989,13.4609
570,29.0,3.6501,12.9987,13.4529
600,28.9,3.6501,13.002,13.4478
630,28.9,3.6501,12.9964,13.4433
660,29.3,3.6501,12.9964,13.4406
690,29.8,3.6501,12.9989,13.4375
720,29.9,3.6501,13.0001,13.4317
750,29.6,3.65,12.9974,13.4225
780,29.3,3.6501,13.0016,13.4168
810,29.2,3.6501,12.9998,13.4115
840,29.2,3.65,12.998,13.4072
870,29.3,3.65,12.9983,13.4029
900,29.7,3.65,12.996,13.4001
930,27.5,3.65,12.9982,13.3903
960,29.7,3.65,12.9974,13.3904
990,29.6,3.6501,12.9964,13.385
1020,29.5,3.6501,12.9974,13.3803
1050,29.6,3.6501,13.0037,13.3759
1080,29.5,3.65,12.999,13.3715
1110,29.7,3.65,12.9961,13.3681
1140,30.2,3.65,12.9957,13.3654
1170,30.5,3.6501,12.9957,13.3616
1200,30.5,3.65,13.0052,13.3567
1230,30.2,3.65,12.9989,13.3509
1260,30.1,3.6501,12.9957,13.3462
1290,30.2,3.6501,12.9959,13.3419
1320,29.7,3.6501,12.9969,13.3349
1350,29.8,3.6501,12.9962,13.3324
1380,29.9,3.6501,13.0004,13.3296
1410,30.1,3.6501,12.9992,13.3261
1440,30.2,3.6501,12.9972,13.3207
1470,29.6,3.6501,12.9962,13.315
1500,29.5,3.65,13.0002,13.3106
1530,29.5,3.6501,12.9963,13.3076
1560,29.6,3.65,12.9982,13.3043
1590,30.2,3.6501,13.0001,13.3024
1620,30.3,3.65,12.999,13.3001
1650,31.0,3.6501,12.9972,13.2973
1680,30.5,3.65,12.9995,13.292
1710,30.2,3.6501,13.004,13.2869
1740,30.2,3.65,12.9953,13.2829
